r [um],n,q,q2
1.600000, 1.496761, 0.897600, 2.246600
1.700000, 1.496598, 0.884400, 2.246105
1.800000, 1.496424, 0.870400, 2.245579
1.900000, 1.496240, 0.855600, 2.245023
2.000000, 1.496046, 0.840000, 2.244437
2.100000, 1.495843, 0.823600, 2.243822
2.200000, 1.495629, 0.806400, 2.243176
2.300000, 1.495406, 0.788400, 2.242500
2.400000, 1.495172, 0.769600, 2.241794
2.500000, 1.494929, 0.750000, 2.241058
2.600000, 1.494675, 0.729600, 2.240292
2.700000, 1.494412, 0.708400, 2.239496
2.800000, 1.494138, 0.686400, 2.238670
2.900000, 1.493855, 0.663600, 2.237814
3.000000, 1.493561, 0.640000, 2.236928
3.100000, 1.493258, 0.615600, 2.236012
3.200000, 1.492945, 0.590400, 2.235066
3.300000, 1.492621, 0.564400, 2.234089
3.400000, 1.492288, 0.537600, 2.233083
3.500000, 1.491944, 0.510000, 2.232047
3.600000, 1.491590, 0.481600, 2.230980
3.700000, 1.491227, 0.452400, 2.229884
3.800000, 1.490853, 0.422400, 2.228758
3.900000, 1.490469, 0.391600, 2.227601
4.000000, 1.490075, 0.360000, 2.226415
4.100000, 1.489672, 0.327600, 2.225198
4.200000, 1.489258, 0.294400, 2.223952
4.300000, 1.488833, 0.260400, 2.222675
4.400000, 1.488399, 0.225600, 2.221368
4.500000, 1.487955, 0.190000, 2.220032
4.600000, 1.487501, 0.153600, 2.218665
4.700000, 1.487036, 0.116400, 2.217268
4.800000, 1.486561, 0.078400, 2.215842
4.900000, 1.486076, 0.039600, 2.214385
5.000000, 1.485581, 0.000000, 2.212898
0.000000, 1.498032, 1.000000, 2.250457
0.100000, 1.498027, 0.999600, 2.250442
0.200000, 1.498012, 0.998400, 2.250397
0.300000, 1.497988, 0.996400, 2.250322
0.400000, 1.497953, 0.993600, 2.250216
0.500000, 1.497908, 0.990000, 2.250081
0.600000, 1.497854, 0.985600, 2.249916
0.700000, 1.497789, 0.980400, 2.249721
0.800000, 1.497715, 0.974400, 2.249495
0.900000, 1.497631, 0.967600, 2.249240
1.000000, 1.497536, 0.960000, 2.248955
1.100000, 1.497432, 0.951600, 2.248639
1.200000, 1.497318, 0.942400, 2.248294
1.300000, 1.497194, 0.932400, 2.247918
1.400000, 1.497060, 0.921600, 2.247513
1.500000, 1.496916, 0.910000, 2.247077
1.600000, 1.496762, 0.897600, 2.246612
1.700000, 1.496598, 0.884400, 2.246116
1.800000, 1.496425, 0.870400, 2.245590
1.900000, 1.496241, 0.855600, 2.245034
2.000000, 1.496047, 0.840000, 2.244449
2.100000, 1.495844, 0.823600, 2.243833
2.200000, 1.495630, 0.806400, 2.243187
2.300000, 1.495407, 0.788400, 2.242511
2.400000, 1.495173, 0.769600, 2.241805
2.500000, 1.494930, 0.750000, 2.241069
2.600000, 1.494676, 0.729600, 2.240303
2.700000, 1.494413, 0.708400, 2.239507
2.800000, 1.494139, 0.686400, 2.238681
2.900000, 1.493856, 0.663600, 2.237825
3.000000, 1.493562, 0.640000, 2.236939
3.100000, 1.493259, 0.615600, 2.236023
3.200000, 1.492945, 0.590400, 2.235076
3.300000, 1.492622, 0.564400, 2.234100
3.400000, 1.492288, 0.537600, 2.233094
3.500000, 1.491945, 0.510000, 2.232057
3.600000, 1.491591, 0.481600, 2.230991
3.700000, 1.491228, 0.452400, 2.229894
3.800000, 1.490854, 0.422400, 2.228768
3.900000, 1.490470, 0.391600, 2.227612
4.000000, 1.490076, 0.360000, 2.226425
4.100000, 1.489672, 0.327600, 2.225208
4.200000, 1.489258, 0.294400, 2.223962
4.300000, 1.488834, 0.260400, 2.222685
4.400000, 1.488400, 0.225600, 2.221378
4.500000, 1.487956, 0.190000, 2.220042
4.600000, 1.487501, 0.153600, 2.218675
4.700000, 1.487037, 0.116400, 2.217278
4.800000, 1.486562, 0.078400, 2.215851
4.900000, 1.486077, 0.039600, 2.214394
5.000000, 1.485582, -0.000000, 2.212908
0.000000, 1.498033, 1.000000, 2.250468
0.100000, 1.498028, 0.999600, 2.250453
0.200000, 1.498013, 0.998400, 2.250408
0.300000, 1.497989, 0.996400, 2.250333
0.400000, 1.497954, 0.993600, 2.250228
0.500000, 1.497909, 0.990000, 2.250093
0.600000, 1.497855, 0.985600, 2.249927
0.700000, 1.497790, 0.980400, 2.249732
0.800000, 1.497716, 0.974400, 2.249507
0.900000, 1.497631, 0.967600, 2.249251
1.000000, 1.497537, 0.960000, 2.248966
1.100000, 1.497433, 0.951600, 2.248651
1.200000, 1.497319, 0.942400, 2.248305
1.300000, 1.497195, 0.932400, 2.247930
1.400000, 1.497061, 0.921600, 2.247524
1.500000, 1.496917, 0.910000, 2.247088
1.600000, 1.496763, 0.897600, 2.246623
1.700000, 1.496599, 0.884400, 2.246127
1.800000, 1.496425, 0.870400, 2.245601
1.900000, 1.496242, 0.855600, 2.245046
2.000000, 1.496048, 0.840000, 2.244460
2.100000, 1.495844, 0.823600, 2.243844
2.200000, 1.495631, 0.806400, 2.243198
2.300000, 1.495407, 0.788400, 2.242522
2.400000, 1.495174, 0.769600, 2.241816
2.500000, 1.494930, 0.750000, 2.241080
2.600000, 1.494677, 0.729600, 2.240314
2.700000, 1.494413, 0.708400, 2.239518
2.800000, 1.494140, 0.686400, 2.238692
2.900000, 1.493857, 0.663600, 2.237836
3.000000, 1.493563, 0.640000, 2.236950
3.100000, 1.493260, 0.615600, 2.236033
3.200000, 1.492946, 0.590400, 2.235087
3.300000, 1.492623, 0.564400, 2.234111
3.400000, 1.492289, 0.537600, 2.233104
3.500000, 1.491946, 0.510000, 2.232068
3.600000, 1.491592, 0.481600, 2.231001
3.700000, 1.491228, 0.452400, 2.229905
3.800000, 1.490855, 0.422400, 2.228778
3.900000, 1.490471, 0.391600, 2.227622
4.000000, 1.490077, 0.360000, 2.226435
4.100000, 1.489673, 0.327600, 2.225219
4.200000, 1.489259, 0.294400, 2.223972
4.300000, 1.488835, 0.260400, 2.222695
4.400000, 1.488401, 0.225600, 2.221388
